"","id","lat","long","type","site","code","locationtype","country"
"240",14555,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LIVNIMELISSI","Civil Settlement","Germany"
"241",14556,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LIVNIMELISSI","Civil Settlement","Germany"
"242",14559,50.11552,8.684167,"Dressel 20","Frankfurt am Main","FSCIMNIANO","Civil Settlement","Germany"
"243",14559,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LIVNIMELISSI","Civil Settlement","Germany"
"244",14561,50.11552,8.684167,"Dressel 20","Frankfurt am Main","HEDERALIVNIMELISSI","Civil Settlement","Germany"
"245",14569,50.11552,8.684167,"Dressel 20","Frankfurt am Main","IIIVNIMELISSIETMELISSE","Civil Settlement","Germany"
"246",14578,50.11552,8.684167,"Dressel 20","Frankfurt am Main","IIIVNIMELISSIETMELISSEHEDERA","Civil Settlement","Germany"
"247",14581,50.11552,8.684167,"Dressel 20","Frankfurt am Main","IIIVNIMELISSEETMELISSE","Civil Settlement","Germany"
"248",14582,50.11552,8.684167,"Dressel 20","Frankfurt am Main","IIIVNIMELISSIETMELISSE","Civil Settlement","Germany"
"249",14596,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ALFO","Civil Settlement","Germany"
"250",14602,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ALFQ","Civil Settlement","Germany"
"251",14620,50.11552,8.684167,"Dressel 20","Frankfurt am Main","GMMF","Civil Settlement","Germany"
"252",14623,50.11552,8.684167,"Dressel 20","Frankfurt am Main","GMMF","Civil Settlement","Germany"
"253",14633,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QMR","Civil Settlement","Germany"
"254",14634,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QMR","Civil Settlement","Germany"
"255",14648,50.11552,8.684167,"Dressel 20","Frankfurt am Main","MMROMMRC","Civil Settlement","Germany"
"256",14650,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PMS","Civil Settlement","Germany"
"257",14658,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LMVE","Civil Settlement","Germany"
"258",14660,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LMVE","Civil Settlement","Germany"
